"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @CimpaticoTV: What a great discussion it was on Climate Impacts on Water Utilities in North Carolina between @linz_hallock and Doug Pars…",FALSE,0,NA,2020-11-05 14:23:07,FALSE,NA,"1324356576782610432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fahimRahat6",1,TRUE,FALSE,NA,NA
"RT @BigBlueWaveUSA: @TheTrueAmerica5 @jodispissed8645 This morning will end this.
Joe will win #Nevada.
And #Arizona
And #Georgia
AND #Penn…",FALSE,0,NA,2020-11-05 14:23:07,FALSE,NA,"1324356574907805697",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Scottadams4321",9,TRUE,FALSE,NA,NA
"RT @qiaocollective: Today, the U.S. exits the Paris Climate Agreement, meaning the world's largest cumulative polluter has no plan to avert…",FALSE,0,NA,2020-11-05 14:23:07,FALSE,NA,"1324356573884395522",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Simon_A_Wood",20,TRUE,FALSE,NA,NA
"RT @TheDemCoalition: .@JoeBiden made the pledge just hours after our knuckle-dragging, anti-science president took the United States out of…",FALSE,0,NA,2020-11-05 14:23:06,FALSE,NA,"1324356571095334912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JustJoanne66",8,TRUE,FALSE,NA,NA
"RT @Tesmanian_com: Tesla Model 3 Heat Pump Plans Appear to Move Forward, Will Add Range &amp; Cold Climate Benefits

https://t.co/yGLsr4Wh4e",FALSE,0,NA,2020-11-05 14:23:06,FALSE,NA,"1324356569153359872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","erhanfidann",2,TRUE,FALSE,NA,NA
"RT @EnergySocNUIG: Brought to us from @RyanInstitute &amp; @nuigalway is: Galway Climathon 2020! Held on Friday 13th November as online event,…",FALSE,0,NA,2020-11-05 14:23:05,FALSE,NA,"1324356565185474561",NA,"<a href=""https://climathon.climate-kic.org/"" rel=""nofollow"">Climathon retweet 2017</a>","BeatrisMaz",1,TRUE,FALSE,NA,NA
"RT @krystalball: Fox News exits had 70% backing govt healthcare and big majorities for climate action. Florida passed $15 minimum wage with…",FALSE,0,NA,2020-11-05 14:23:05,FALSE,NA,"1324356565034389504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WalterDalley",2799,TRUE,FALSE,NA,NA
"RT @People4Bernie: If you're amazed that Bernie Sanders predicted the past 12 hours, wait till you hear what he's been saying about climate…",FALSE,0,NA,2020-11-05 14:23:03,FALSE,NA,"1324356559984644096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ilianaibarra_",17596,TRUE,FALSE,NA,NA
"RT @Greenpeace: “We can’t reach our goals without addressing our food system.” 

Food production is responsible for 1/4 of the world’s GHG…",FALSE,0,NA,2020-11-05 14:23:03,FALSE,NA,"1324356559565131778",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheKindestRevo1",25,TRUE,FALSE,NA,NA
"RT @IIED: The next 12 months present an opportunity to increase awareness, understanding &amp; action of the importance of integrating climate,…",FALSE,0,NA,2020-11-05 14:23:03,FALSE,NA,"1324356559149944832",NA,"<a href=""http://testapp.com/"" rel=""nofollow"">TwitterAppStudy01</a>","MyITMedia",1,TRUE,FALSE,NA,NA
"RT @People4Bernie: If you're amazed that Bernie Sanders predicted the past 12 hours, wait till you hear what he's been saying about climate…",FALSE,0,NA,2020-11-05 14:23:03,FALSE,NA,"1324356558877298690",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jazminaaa1598",17596,TRUE,FALSE,NA,NA
"Enrico Bernardini, Risk Management Department @bancaditalia is taking the floor to give a presentation on  ""ESG, E… https://t.co/FLzp6wqVQK",FALSE,0,NA,2020-11-05 14:23:03,TRUE,NA,"1324356557430312961",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","EDHECRisk",0,FALSE,FALSE,NA,NA
